Countries,Income,Death per million,Water Current Score,Health Efficiency,Percentage Population Rural,Fraction of diarrhoea due to lack of sanitation,HALE at birth
Afghanistan,Low income,1.09,25.75,0.325,74.505,0.64,53
Albania,Upper middle,1.19,66.56,0.774,39.681,0.42,68.1
Algeria,Upper middle,1.73,60.26,0.701,27.371,0.47,65.5
Angola,Lower middle,0.01,9.2,0.275,34.486,0.65,55.8
Antigua and Barbuda,High income,3.12,53.33,0.688,75.401,0.08,67
Argentina,Upper middle,1.65,73.07,0.722,8.13,0.34,68.4
Armenia,Upper middle,7.69,61.94,0.63,36.851,0.42,66.3
Australia,High income,0.41,98.44,0.876,13.988,0.08,73
Austria,High income,7.61,94.63,0.959,41.703,0.08,72.4
Azerbaijan,Upper middle,1.03,48.53,0.626,44.32,0.33,64.9
Bahrain,High income,1.98,63.06,0.824,10.713,0.08,68.1
Bangladesh,Lower middle,0.63,28.47,0.675,63.368,0.62,63.3
Barbados,High income,2.44,55.64,0.808,68.853,0.08,67
Belarus,Upper middle,3.04,68.66,0.723,21.405,0.34,65.5
Belgium,High income,84.3,96.09,0.915,1.999,0.08,71.6
Bolivia,Lower middle,4.51,44.57,0.571,30.575,0.54,63
Bosnia and Herzegovina,Upper middle,4.84,71.54,0.664,51.755,0.42,67.2
Brazil,Upper middle,18.94,45.91,0.573,13.431,0.37,66
Bulgaria,Upper middle,2.38,71.26,0.639,24.992,0.36,66.4
Burkina Faso,Low income,0.27,8.45,0.543,70.642,0.7,52.9
Cameroon,Lower middle,0.84,13.45,0.357,43.626,0.65,51.1
Canada,High income,21.69,94.69,0.881,18.589,0.08,73.2
Chad,Low income,0.47,0.32,0.303,76.941,0.72,47.2
Chile,High income,13.21,79.61,0.87,12.436,0.08,69.7
China,High income,0.33,68.24,0.485,40.848,0.38,68.7
Colombia,Upper middle,2.9,59.96,0.91,19.222,0.39,67.1
Costa Rica,Upper middle,0.24,62.78,0.849,20.66,0.32,70.9
C“te d'Ivoire,Lower middle,0.16,9.53,0.517,49.221,0.66,48.3
Croatia,High income,2.59,70.01,0.812,43.053,0.08,69
Cuba,Upper middle,0.73,57.5,0.834,22.963,0.38,69.9
Cyprus,High income,1.51,92.35,0.906,33.19,0.08,73.3
Czech Republic (Czechia),High income,3.11,69.98,0.805,26.208,0.08,69.3
Denmark,High income,10.23,97.78,0.862,12.126,0.08,71.8
Djibouti,Lower middle,3.55,19.3,0.414,22.223,0.59,56.6
Ecuador,Upper middle,21.77,52.2,0.619,36.179,0.4,67.9
Egypt,Lower middle,1.36,32.78,0.752,57.296,0.41,61.1
Equatorial Guinea,Upper middle,0.92,31.89,0.337,27.857,0.53,53.8
Estonia,High income,5.22,58.45,0.714,31.12,0.08,68.2
Ethiopia,Low income,0.03,9.35,0.276,79.237,0.72,57.5
Finland,High income,5.87,100,0.881,14.618,0.08,71.7
France,High income,43.77,97.22,0.994,19.556,0.08,73.4
Gabon,Upper middle,1.04,22.23,0.511,10.63,0.61,58.7
Georgia,Low income,0.35,59.93,0.615,41.368,0.45,64.9
Germany,Upper middle,10.55,96.74,0.902,22.688,0.08,71.6
Ghana,Lower middle,0.16,26.52,0.522,43.94,0.69,56.4
Greece,High income,1.71,100,0.933,20.942,0.08,72
Guatemala,Upper middle,1.83,29.5,0.713,48.946,0.47,64.2
